"id","code","name","description","created_at","updated_at"
"ac2f8d0a-c4dc-4839-a796-f03fe7a7d01d","MF-CPMM","Manzana Fuji","Manzana de origen japonés, dulce y crujiente con piel rojiza.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"da60416a-4fbe-4bd0-87aa-8e74bc5acc52","MG-M3XZ","Manzana Golden","Manzana amarilla de sabor suave y dulce, ideal para zumos y postres.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"bc4e484b-0cb5-4886-be80-649599b7bed2","PC-RJXG","Pera Conferencia","Pera alargada de pulpa jugosa y sabor dulce, perfecta para consumo directo.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"2cb3063e-b1c5-494a-aa46-985838fa2232","PW-SQET","Pera Williams","Pera de piel fina y pulpa muy jugosa, aromática y dulce.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"43a71074-c8ec-46db-9da0-9d6482035c6c","ZB-Q8OA","Zanahoria Baby","Zanahorias pequeñas y tiernas, ideales para snacks y ensaladas.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"e64f5503-5fbe-43b1-add9-38e2ee87d9ea","ZR-VHFL","Zanahoria Rallada","Zanahoria fresca rallada lista para usar en ensaladas y guisos.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"df99edc8-5c58-4876-b061-398b75d004b0","LR-LHFZ","Lechuga Romana","Lechuga de hojas alargadas y crujientes, base ideal para ensaladas César.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"d43eb5c5-233c-4d91-ba49-295164f38c07","LI-BULA","Lechuga Iceberg","Lechuga compacta y crujiente, perfecta para hamburguesas y ensaladas frescas.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"5d45d72d-8e65-4bd7-938d-18957ea6a661","PE-N0HX","Pollo Entero","Pollo de granja criado en libertad, ideal para asar al horno.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"38663051-a7ac-48db-870e-6ab61c38e8a3","MP-YBIH","Muslo de Pollo","Muslos de pollo jugosos y sabrosos, perfectos para guisos y parrilla.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"857e7c3d-844f-448a-9e76-4b817ad4814e","PP-9QPK","Pechuga de Pollo","Pechuga de pollo magra y tierna, ideal para platos saludables.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"27952b4b-e111-4d37-b222-248b1c77490d","FT-DB7B","Filete de Ternera","Filete de ternera tierno y jugoso, perfecto para plancha o parrilla.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"299010f6-c9f7-42b3-8c87-b84a8a31703a","CT-Z081","Chuleta de Ternera","Chuleta de ternera con hueso, sabrosa y jugosa al horno o parrilla.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"e78ad12c-e8df-4915-bcea-402bc1362375","LD-JAE8","Leche Desnatada","Leche fresca desnatada con bajo contenido en grasa, rica en calcio.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"4c51191c-323a-4cbf-a340-14a1aacb9309","LS-ED3Y","Leche Sin Lactosa","Leche fresca sin lactosa, apta para personas con intolerancia.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"8420cbef-cd5e-491b-a058-cedcb633ca94","QM-OBNR","Queso Manchego","Queso curado de oveja con denominación de origen, sabor intenso y persistente.","2026-06-01 09:31:08","2026-06-01 09:31:08"
"75d76a45-afb1-4e4c-a44f-14a31dd18a69","QB-3SNH","Queso Brie","Queso francés de pasta blanda con corteza blanca, cremoso y suave.","2026-06-01 09:31:08","2026-06-01 09:31:08"